physics_kcet,chemistry_kcet,mathematics_kcet,biology_kcet,physics_theory,chemistry_theory,mathematics_theory,biology_theory,rank
55.18271038031657,59.21582858420146,56.353283407654054,57.94066260604431,100.0,86.31508268466253,98.99836358923051,82.65268625174934,17765
55.472151385717,48.83118812130619,45.08348569100613,55.91832857982611,96.90232899686997,94.99639819251414,91.40392952272705,100.0,56394
33.15868818511566,40.85981273745388,42.41310722097001,36.77755373393772,70.19616793680974,73.86309422823491,79.25953190823353,83.12341164011123,177028
51.307834784989474,43.19116752949272,52.626440905768106,49.9542333775831,96.34945031805715,84.18677550981667,89.13548746460613,100.0,91051
42.24781863615661,37.48100719022871,55.149801165719126,52.54912455785017,80.39047157625217,89.43937987566343,76.06785631205028,85.05851554584582,117543
42.7237603773696,36.24703781348682,44.37792733718834,45.347998094443874,74.20979076162152,79.18113642611364,52.63349080808768,59.045463325123045,166938
60.0,60.0,48.037615860456,50.42908705695154,96.83070811840452,97.51403262632105,100.0,91.35620170189951,21413
58.15697913357344,57.78911268601206,58.933909882193014,60.0,100.0,89.53620869964136,84.87071493394023,84.35896108005026,8926
49.434369930259386,56.122018142359316,52.71405039945688,52.21062231125208,95.10897189937943,89.36691095777924,85.8253135706239,96.80663350954816,66613
51.98874436540779,60.0,60.0,49.50686993492896,100.0,100.0,78.93966433111405,100.0,71649
46.47724755717506,48.853316935596034,44.59423038278744,49.10868001689348,83.44495968799801,91.65995631915878,74.97380776336718,94.95355950872934,123294
54.19804504406041,49.37805683147301,48.31689440212253,54.24460573163956,100.0,100.0,81.58431836450215,100.0,29824
60.0,57.630052894026555,44.85452532251591,45.822022056374685,81.09387964775382,95.12734428024588,94.65176903683684,96.57525192602718,49786
44.213901183979054,54.68817836768571,51.57339003826169,56.81993786957351,79.1930607135049,79.88930823898352,74.98377037495096,71.28096073521525,88737
53.18881959865747,42.02815975418801,54.44871459335549,39.06665486268349,78.54127223095708,74.69328861879674,72.91500769109916,85.6642327888942,111409
41.85194364261984,54.451697354800345,53.69371245848464,43.14626524176418,79.26763355760123,85.13339167610303,85.59255190588789,65.8694703968199,112306
41.57527398867169,45.89539727531431,35.03837221899806,37.521441915232806,63.50159083027437,72.9329406199885,74.73747211904997,80.72050949248332,163273
